"ACAD_PLAN"	"ACAD_PLAN_EFFDT"	"ACAD_PLAN_EFF_STATUS"	"ACAD_PLAN_DESCR"	"ACAD_PLAN_TYPE"	"ACAD_PLAN_TYPE_DESCRSHORT"	"ACAD_PROG"	"CIP_CODE"	"CIP_DESCR"	"CIP_DESCR254"	"HEGIS_CODE"	"HEGIS_DESCR"	"HEGIS_DESCR60"	"ACAD_CAREER"	"STUDY_FIELD"	"STUDY_FIELD_DESCRSHORT"	"STUDY_FIELD_DESCRFORMAL"	"DEGREE"	"TRNSCR_DESCR"	"RACK_DIVSN_CD"	"RACK_DIVSN_DESCR"	"CIP_ALTERNATIVE_CD"	"CIP_ALTERNATIVE_DESCR"	"CIP_ALTERNATIVE_DESCRSHORT"	"LAST_ADM_TERM"	"LAST_ADM_TERM_DESCRSHORT"
"7730"	01-JAN-01	"A"	"Pub Policy & Political Sc"	"MAJ"	"Major"	"01680"	"44.0501"	"Public Policy Analysis"	"Public Policy Analysis"	"21"	"PUBLIC AFFAIRS & SERVICE"	"PUBLIC AFFAIRS & SERVICE"	"GRAC"	"7730"	"P Pol & P"	"Public Policy and Political Science"	" "	"Public Policy and Political Science"	"3"	"Social Sciences"	"121"	"Public Administration"	"PubAdmin"	" "	" "
"7730PHD"	01-JAN-01	"A"	"Pub Policy & Political Sc PhD"	"MAJ"	"Major"	"01679"	"44.0501"	"Public Policy Analysis"	"Public Policy Analysis"	"21"	"PUBLIC AFFAIRS & SERVICE"	"PUBLIC AFFAIRS & SERVICE"	"GRAC"	"7730"	"P Pol & P"	"Public Policy and Political Science"	"PHD"	"Public Policy and Political Science"	"3"	"Social Sciences"	"121"	"Public Administration"	"PubAdmin"	" "	" "
"7740"	01-JAN-01	"A"	"Psychology"	"MAJ"	"Major"	"01310"	"42.2704"	"Experimental Psychology"	"Experimental Psychology"	"20.01"	"PSYCHOLOGY- GENERAL"	"PSYCHOLOGY- GENERAL"	"GRAC"	"7740"	"Psychology"	"Psychology"	" "	"Psychology"	"3"	"Social Sciences"	"120"	"Psychology"	"Psych"	" "	" "
"77401"	01-JAN-01	"A"	"Psychology"	"CON"	"Concentrtn"	"02032"	"42.2704"	"Experimental Psychology"	"Experimental Psychology"	"20.01"	"PSYCHOLOGY- GENERAL"	"PSYCHOLOGY- GENERAL"	"UND"	"7740"	"Psychology"	"Psychology"	" "	"Psychology"	"3"	"Social Sciences"	"120"	"Psychology"	"Psych"	" "	" "
"7740ABLSA"	01-JAN-01	"A"	"Psychology BA"	"MAJ"	"Major"	" "	"42.2704"	"Experimental Psychology"	"Experimental Psychology"	"20.01"	"PSYCHOLOGY- GENERAL"	"PSYCHOLOGY- GENERAL"	"ULSA"	"7740"	"Psychology"	"Psychology"	"AB"	"Psychology"	"3"	"Social Sciences"	"120"	"Psychology"	"Psych"	" "	" "
"7740ABRC"	27-JUN-01	"A"	"Psychology BA"	"MAJ"	"Major"	" "	"42.0101"	"Psychology, General"	"Psychology, General"	"20.01"	"PSYCHOLOGY- GENERAL"	"PSYCHOLOGY- GENERAL"	"URC"	"7740"	"Psychology"	"Psychology"	"AB"	"Psychology"	"3"	"Social Sciences"	"120"	"Psychology"	"Psych"	"1340"	"SS 2001"
"7740AM"	06-JUN-07	"A"	"Psychology MA"	"MAJ"	"Major"	"00410"	"42.0101"	"Psychology, General"	"Psychology, General"	"20.01"	"PSYCHOLOGY- GENERAL"	"PSYCHOLOGY- GENERAL"	"GRAC"	"7740"	"Psychology"	"Psychology"	"AM"	"Psychology"	"3"	"Social Sciences"	"120"	"Psychology"	"Psych"	"1640"	"SS 2007"
"7740BSCLSA"	01-JAN-01	"A"	"Psychology BSChem"	"MAJ"	"Major"	" "	"42.2704"	"Experimental Psychology"	"Experimental Psychology"	"20.01"	"PSYCHOLOGY- GENERAL"	"PSYCHOLOGY- GENERAL"	"ULSA"	"7740"	"Psychology"	"Psychology"	"BSC"	"Psychology"	"3"	"Social Sciences"	"120"	"Psychology"	"Psych"	" "	" "
"7740BSLSA"	01-JAN-01	"A"	"Psychology BS"	"MAJ"	"Major"	" "	"42.2704"	"Experimental Psychology"	"Experimental Psychology"	"20.01"	"PSYCHOLOGY- GENERAL"	"PSYCHOLOGY- GENERAL"	"ULSA"	"7740"	"Psychology"	"Psychology"	"BS"	"Psychology"	"3"	"Social Sciences"	"120"	"Psychology"	"Psych"	" "	" "
"7740BSRC"	27-JUN-01	"A"	"Psychology BS"	"MAJ"	"Major"	" "	"42.0101"	"Psychology, General"	"Psychology, General"	"20.01"	"PSYCHOLOGY- GENERAL"	"PSYCHOLOGY- GENERAL"	"URC"	"7740"	"Psychology"	"Psychology"	"BS"	"Psychology"	"3"	"Social Sciences"	"120"	"Psychology"	"Psych"	"1340"	"SS 2001"
"7740MS"	01-JAN-01	"A"	"Psychology MS"	"MAJ"	"Major"	"00410"	"42.2704"	"Experimental Psychology"	"Experimental Psychology"	"20.01"	"PSYCHOLOGY- GENERAL"	"PSYCHOLOGY- GENERAL"	"GRAC"	"7740"	"Psychology"	"Psychology"	"MS"	"Psychology"	"3"	"Social Sciences"	"120"	"Psychology"	"Psych"	" "	" "
"4390MSE5"	01-JAN-01	"A"	"Industrial & Oper Eng MSE"	"MAJ"	"Major"	"00761"	"14.3501"	"Industrial Engineering"	"Industrial Engineering"	"09.13"	"INDUSTRIAL MANAGEMT ENG"	"INDUSTRIAL MANAGEMT ENG"	"GRAC"	"4390"	"Ind & Oper"	"Industrial and Operations Engineering"	"MSE"	"Industrial and Operations Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"4390PHD"	01-JAN-01	"A"	"Industrial & Oper Eng PhD"	"MAJ"	"Major"	"00239"	"14.3501"	"Industrial Engineering"	"Industrial Engineering"	"09.13"	"INDUSTRIAL MANAGEMT ENG"	"INDUSTRIAL MANAGEMT ENG"	"GRAC"	"4390"	"Ind & Oper"	"Industrial and Operations Engineering"	"PHD"	"Industrial and Operations Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"4410"	14-OCT-10	"A"	"Industrial Relations"	"MAJ"	"Major"	"01465"	"52.1002"	"Labor and Industrial Relations"	"Labor and Industrial Relations"	"05.16"	"LABOR & INDUSTRIAL REL"	"LABOR & INDUSTRIAL REL"	"GRAC"	"4410"	"Indust Rel"	"Industrial Relations"	" "	"Industrial Relations"	"3"	"Social Sciences"	"105"	"Business Management"	"Busin Mang"	"1810"	"FA 2010"
"4410CGR"	14-OCT-10	"A"	"Industrial Relations CertGrad"	"MAJ"	"Major"	"00244"	"52.1002"	"Labor and Industrial Relations"	"Labor and Industrial Relations"	"05.16"	"LABOR & INDUSTRIAL REL"	"LABOR & INDUSTRIAL REL"	"GRAC"	"4410"	"Indust Rel"	"Industrial Relations"	"CGR"	"Industrial Relations"	"3"	"Social Sciences"	"105"	"Business Management"	"Busin Mang"	"1810"	"FA 2010"
"4420"	03-SEP-07	"A"	"Industrial Health"	"MAJ"	"Major"	"01385"	"51.9999"	"Health Professions and Related"	"Health Professions and Related Clinical Sciences, Other"	"12.99"	"OTHER, HEALTH PROFESSIONS"	"OTHER, HEALTH PROFESSIONS"	"GRAC"	"4420"	"Indust Hlt"	"Industrial Health"	" "	"Industrial Health"	"1"	"Biological and Health Sciences"	"162"	"Public Health"	"PubHealth"	"1650"	"SU 2007"
"44201"	03-SEP-07	"A"	"Industrial Health"	"MAJ"	"Major"	"01194"	"51.9999"	"Health Professions and Related"	"Health Professions and Related Clinical Sciences, Other"	"12.99"	"OTHER, HEALTH PROFESSIONS"	"OTHER, HEALTH PROFESSIONS"	"GPH"	"4420"	"Indust Hlt"	"Industrial Health"	" "	"Industrial Health"	"1"	"Biological and Health Sciences"	"162"	"Public Health"	"PubHealth"	"1650"	"SU 2007"
"4420MPH"	02-JAN-01	"A"	"Industrial Health MPH"	"CON"	"Concentrtn"	"00573"	"51.9999"	"Health Professions and Related"	"Health Professions and Related Clinical Sciences, Other"	"12.99"	"OTHER, HEALTH PROFESSIONS"	"OTHER, HEALTH PROFESSIONS"	"GPH"	"4420"	"Indust Hlt"	"Industrial Health"	"MPH"	"Industrial Health"	"1"	"Biological and Health Sciences"	"162"	"Public Health"	"PubHealth"	"0303"	"Fall 1974"
"4420MS"	17-SEP-15	"A"	"Industrial Health MS"	"MAJ"	"Major"	"00246"	"51.9999"	"Health Professions and Related"	"Health Professions and Related Clinical Sciences, Other"	"12.99"	"OTHER, HEALTH PROFESSIONS"	"OTHER, HEALTH PROFESSIONS"	"GRAC"	"4420"	"Indust Hlt"	"Industrial Health"	"MS"	"Industrial Health"	"1"	"Biological and Health Sciences"	"162"	"Public Health"	"PubHealth"	"2050"	"SU 2015"
"4420MS1"	17-SEP-15	"A"	"Industrial Health MS OJOC"	"MAJ"	"Major"	"00246"	"51.9999"	"Health Professions and Related"	"Health Professions and Related Clinical Sciences, Other"	"12.99"	"OTHER, HEALTH PROFESSIONS"	"OTHER, HEALTH PROFESSIONS"	"GRAC"	"4420"	"Indust Hlt"	"Industrial Health"	"MS"	"Industrial Health"	"1"	"Biological and Health Sciences"	"162"	"Public Health"	"PubHealth"	"2050"	"SU 2015"
"4420PHD"	17-SEP-15	"A"	"Industrial Health PhD"	"MAJ"	"Major"	"00245"	"51.9999"	"Health Professions and Related"	"Health Professions and Related Clinical Sciences, Other"	"12.99"	"OTHER, HEALTH PROFESSIONS"	"OTHER, HEALTH PROFESSIONS"	"GRAC"	"4420"	"Indust Hlt"	"Industrial Health"	"PHD"	"Industrial Health"	"1"	"Biological and Health Sciences"	"162"	"Public Health"	"PubHealth"	"2050"	"SU 2015"
"44402"	02-JAN-01	"A"	"Information & Library Studies"	"MAJ"	"Major"	"01386"	"11.0401"	"Information Science/Studies"	"Information Science/Studies"	"16.01"	"LIBRARY SCIENCE- GENERAL"	"LIBRARY SCIENCE- GENERAL"	"GRAC"	"4440"	"Info & L S"	"Information and Library Studies"	" "	"Information and Library Studies"	"3"	"Social Sciences"	"107"	"Computer, Info Science"	"CmpInfoSci"	"0303"	"Fall 1974"
"4440AM"	02-JAN-01	"A"	"Info & Library Studies MA"	"CON"	"Concentrtn"	"00248"	"11.0401"	"Information Science/Studies"	"Information Science/Studies"	"16.01"	"LIBRARY SCIENCE- GENERAL"	"LIBRARY SCIENCE- GENERAL"	"GRAC"	"4440"	"Info & L S"	"Information and Library Studies"	"AM"	"Information and Library Studies"	"3"	"Social Sciences"	"107"	"Computer, Info Science"	"CmpInfoSci"	"0303"	"Fall 1974"
"5100"	01-JAN-01	"A"	"Molecular & Cellular Pathology"	"MAJ"	"Major"	"01884"	"26.0910"	"Pathology/Experimental Patholo"	"Pathology/Experimental Pathology"	"60.00"	"MEDICINE"	"MEDICINE"	"GRAC"	"5100"	"Mol & C Pa"	"Molecular and Cellular Pathology"	" "	"Molecular and Cellular Pathology"	"1"	"Biological and Health Sciences"	"175"	"Medicine"	"Medicine"	" "	" "
"5100MS"	06-SEP-05	"A"	"Molecular & Cellular Path MS"	"MAJ"	"Major"	"01883"	"26.0910"	"Pathology/Experimental Patholo"	"Pathology/Experimental Pathology"	"60.00"	"MEDICINE"	"MEDICINE"	"GRAC"	"5100"	"Mol & C Pa"	"Molecular and Cellular Pathology"	"MS"	"Molecular and Cellular Pathology"	"1"	"Biological and Health Sciences"	"175"	"Medicine"	"Medicine"	"1550"	"SU 2005"
"5100PHD"	01-JAN-01	"A"	"Molecular & Cellular Path PhD"	"MAJ"	"Major"	"01883"	"26.0910"	"Pathology/Experimental Patholo"	"Pathology/Experimental Pathology"	"60.00"	"MEDICINE"	"MEDICINE"	"GRAC"	"5100"	"Mol & C Pa"	"Molecular and Cellular Pathology"	"PHD"	"Molecular and Cellular Pathology"	"1"	"Biological and Health Sciences"	"175"	"Medicine"	"Medicine"	" "	" "
"5100PHD1"	01-JAN-01	"A"	"Molecular & Cellular Path PhD"	"MAJ"	"Major"	"00732"	"26.0910"	"Pathology/Experimental Patholo"	"Pathology/Experimental Pathology"	"60.00"	"MEDICINE"	"MEDICINE"	"GRAC"	"5100"	"Mol & C Pa"	"Molecular and Cellular Pathology"	"PHD"	"Molecular and Cellular Pathology"	"1"	"Biological and Health Sciences"	"175"	"Medicine"	"Medicine"	" "	" "
"5100PHD2"	01-JAN-01	"A"	"Molecular & Cellular Path PhD"	"MAJ"	"Major"	"01607"	"26.0910"	"Pathology/Experimental Patholo"	"Pathology/Experimental Pathology"	"60.00"	"MEDICINE"	"MEDICINE"	"GRAC"	"5100"	"Mol & C Pa"	"Molecular and Cellular Pathology"	"PHD"	"Molecular and Cellular Pathology"	"1"	"Biological and Health Sciences"	"175"	"Medicine"	"Medicine"	" "	" "
"5120ABLSA"	01-JAN-01	"A"	"Modern Greek BA"	"MAJ"	"Major"	" "	"16.0601"	"Modern Greek Language and Lite"	"Modern Greek Language and Literature"	"11.10"	"GREEK-CLASSICAL"	"GREEK-CLASSICAL"	"ULSA"	"5120"	"Mod Greek"	"Modern Greek"	"AB"	"Modern Greek"	" "	" "	"111"	"Foreign Languages, Literature"	"FrgnLngLit"	" "	" "
"5120BSLSA"	01-JAN-01	"A"	"Modern Greek BS"	"MAJ"	"Major"	" "	"16.0601"	"Modern Greek Language and Lite"	"Modern Greek Language and Literature"	"11.10"	"GREEK-CLASSICAL"	"GREEK-CLASSICAL"	"ULSA"	"5120"	"Mod Greek"	"Modern Greek"	"BS"	"Modern Greek"	" "	" "	"111"	"Foreign Languages, Literature"	"FrgnLngLit"	" "	" "
"51301"	01-JAN-01	"A"	"Mechanical Engineering"	"MAJ"	"Major"	"01297"	"14.1901"	"Mechanical Engineering"	"Mechanical Engineering"	"09.10"	"MECHANICAL ENGINEERING"	"MECHANICAL ENGINEERING"	"GRAC"	"5130"	"Mech Eng"	"Mechanical Engineering"	" "	"Mechanical Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"51302"	01-JAN-01	"A"	"Mechanical Engineering"	"MAJ"	"Major"	"01351"	"14.1901"	"Mechanical Engineering"	"Mechanical Engineering"	"09.10"	"MECHANICAL ENGINEERING"	"MECHANICAL ENGINEERING"	"UND"	"5130"	"Mech Eng"	"Mechanical Engineering"	" "	"Mechanical Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"51303"	01-JAN-01	"A"	"Mechanical Engineering"	"MAJ"	"Major"	"01352"	"14.1901"	"Mechanical Engineering"	"Mechanical Engineering"	"09.10"	"MECHANICAL ENGINEERING"	"MECHANICAL ENGINEERING"	"UND"	"5130"	"Mech Eng"	"Mechanical Engineering"	" "	"Mechanical Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"51304"	01-JAN-01	"A"	"Mechanical Engineering"	"MAJ"	"Major"	"02040"	"14.1901"	"Mechanical Engineering"	"Mechanical Engineering"	"09.10"	"MECHANICAL ENGINEERING"	"MECHANICAL ENGINEERING"	"UND"	"5130"	"Mech Eng"	"Mechanical Engineering"	" "	"Mechanical Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"5130BSE"	01-JAN-01	"A"	"Mechanical Engineering BSE"	"MAJ"	"Major"	" "	"14.1901"	"Mechanical Engineering"	"Mechanical Engineering"	"09.10"	"MECHANICAL ENGINEERING"	"MECHANICAL ENGINEERING"	"UENG"	"5130"	"Mech Eng"	"Mechanical Engineering"	"BSJ"	"Mechanical Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"5130BSE1"	01-JAN-01	"A"	"Mechanical Engineering BSE"	"MAJ"	"Major"	"02030"	"14.1901"	"Mechanical Engineering"	"Mechanical Engineering"	"09.10"	"MECHANICAL ENGINEERING"	"MECHANICAL ENGINEERING"	"UENG"	"5130"	"Mech Eng"	"Mechanical Engineering"	"BSJ"	"Mechanical Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"5130ME"	06-JUL-07	"A"	"Mechanical Engineering ME"	"MAJ"	"Major"	"00284"	"14.1901"	"Mechanical Engineering"	"Mechanical Engineering"	"09.10"	"MECHANICAL ENGINEERING"	"MECHANICAL ENGINEERING"	"GRAC"	"5130"	"Mech Eng"	"Mechanical Engineering"	"ME"	"Mechanical Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	"1650"	"SU 2007"
"5130MS"	01-JAN-01	"A"	"Mechanical Engineering MS"	"MAJ"	"Major"	"00282"	"14.1901"	"Mechanical Engineering"	"Mechanical Engineering"	"09.10"	"MECHANICAL ENGINEERING"	"MECHANICAL ENGINEERING"	"GRAC"	"5130"	"Mech Eng"	"Mechanical Engineering"	"MS"	"Mechanical Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"5130MSE"	01-JAN-01	"A"	"Mechanical Engineering MSE"	"MAJ"	"Major"	"00282"	"14.1901"	"Mechanical Engineering"	"Mechanical Engineering"	"09.10"	"MECHANICAL ENGINEERING"	"MECHANICAL ENGINEERING"	"GRAC"	"5130"	"Mech Eng"	"Mechanical Engineering"	"MSE"	"Mechanical Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"5130MSE1"	01-JAN-01	"A"	"Mechanical Engineering MSE"	"MAJ"	"Major"	"01736"	"14.1901"	"Mechanical Engineering"	"Mechanical Engineering"	"09.10"	"MECHANICAL ENGINEERING"	"MECHANICAL ENGINEERING"	"GRAC"	"5130"	"Mech Eng"	"Mechanical Engineering"	"MSE"	"Mechanical Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"5130MSE2"	01-JAN-01	"A"	"Mechanical Engineering MSE"	"MAJ"	"Major"	"01935"	"14.1901"	"Mechanical Engineering"	"Mechanical Engineering"	"09.10"	"MECHANICAL ENGINEERING"	"MECHANICAL ENGINEERING"	"GRAC"	"5130"	"Mech Eng"	"Mechanical Engineering"	"MSE"	"Mechanical Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"5130MSE3"	01-JAN-01	"A"	"Mechanical Engineering MSE"	"MAJ"	"Major"	"01937"	"14.1901"	"Mechanical Engineering"	"Mechanical Engineering"	"09.10"	"MECHANICAL ENGINEERING"	"MECHANICAL ENGINEERING"	"GRAC"	"5130"	"Mech Eng"	"Mechanical Engineering"	"MSE"	"Mechanical Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"5130MSE4"	01-JAN-01	"A"	"Mechanical Engineering MSE"	"MAJ"	"Major"	"02057"	"14.1901"	"Mechanical Engineering"	"Mechanical Engineering"	"09.10"	"MECHANICAL ENGINEERING"	"MECHANICAL ENGINEERING"	"GRAC"	"5130"	"Mech Eng"	"Mechanical Engineering"	"MSE"	"Mechanical Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"5130PHD"	01-JAN-01	"A"	"Mechanical Engineering PhD"	"MAJ"	"Major"	"00281"	"14.1901"	"Mechanical Engineering"	"Mechanical Engineering"	"09.10"	"MECHANICAL ENGINEERING"	"MECHANICAL ENGINEERING"	"GRAC"	"5130"	"Mech Eng"	"Mechanical Engineering"	"PHD"	"Mechanical Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"5130PHD1"	01-JAN-01	"A"	"Mechanical Engineering PhD"	"MAJ"	"Major"	"00732"	"14.1901"	"Mechanical Engineering"	"Mechanical Engineering"	"09.10"	"MECHANICAL ENGINEERING"	"MECHANICAL ENGINEERING"	"GRAC"	"5130"	"Mech Eng"	"Mechanical Engineering"	"PHD"	"Mechanical Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"5140"	02-JAN-01	"A"	"Medical Care Organization"	"MAJ"	"Major"	"01473"	"51.0701"	"Health/Health Care Administrat"	"Health/Health Care Administration/Management"	"12.02"	"HOSPITAL&HEALTH CARE ADM"	"HOSPITAL&HEALTH CARE ADM"	"GRAC"	"5140"	"Med Care"	"Medical Care Organization"	" "	"Medical Care Organization"	"1"	"Biological and Health Sciences"	"162"	"Public Health"	"PubHealth"	"0303"	"Fall 1974"
"5980MS"	02-JAN-01	"A"	"Nuclear Engineering MS"	"MAJ"	"Major"	"00339"	"14.2301"	"Nuclear Engineering"	"Nuclear Engineering"	"09.20"	"NUCLEAR ENGINEERING"	"NUCLEAR ENGINEERING"	"GRAC"	"5980"	"Nuc Engin"	"Nuclear Engineering"	"MS"	"Nuclear Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	"0303"	"Fall 1974"
"5980MSE"	02-JAN-01	"A"	"Nuclear Engineering MSE"	"MAJ"	"Major"	"00339"	"14.2301"	"Nuclear Engineering"	"Nuclear Engineering"	"09.20"	"NUCLEAR ENGINEERING"	"NUCLEAR ENGINEERING"	"GRAC"	"5980"	"Nuc Engin"	"Nuclear Engineering"	"MSE"	"Nuclear Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	"0303"	"Fall 1974"
"5980NUC"	06-JUL-07	"A"	"Nuclear Engineering NucE"	"MAJ"	"Major"	"00341"	"14.2301"	"Nuclear Engineering"	"Nuclear Engineering"	"09.20"	"NUCLEAR ENGINEERING"	"NUCLEAR ENGINEERING"	"GRAC"	"5980"	"Nuc Engin"	"Nuclear Engineering"	"NUC"	"Nuclear Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	"1650"	"SU 2007"
"5980PHD"	02-JAN-01	"A"	"Nuclear Engineering PhD"	"MAJ"	"Major"	"00338"	"14.2301"	"Nuclear Engineering"	"Nuclear Engineering"	"09.20"	"NUCLEAR ENGINEERING"	"NUCLEAR ENGINEERING"	"GRAC"	"5980"	"Nuc Engin"	"Nuclear Engineering"	"PHD"	"Nuclear Engineering"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	"0303"	"Fall 1974"
"6000"	01-JAN-01	"A"	"Nuclear Eng & Radiolog Sc"	"MAJ"	"Major"	"01351"	"14.2301"	"Nuclear Engineering"	"Nuclear Engineering"	"09.20"	"NUCLEAR ENGINEERING"	"NUCLEAR ENGINEERING"	"UND"	"6000"	"Nuc Eng RS"	"Nuclear Engineering and Radiological Sciences"	" "	"Nuclear Engineering and Radiological Sciences"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"60001"	01-JAN-01	"A"	"Nuclear Eng & Radiolog Sc"	"MAJ"	"Major"	"01567"	"14.2301"	"Nuclear Engineering"	"Nuclear Engineering"	"09.20"	"NUCLEAR ENGINEERING"	"NUCLEAR ENGINEERING"	"GRAC"	"6000"	"Nuc Eng RS"	"Nuclear Engineering and Radiological Sciences"	" "	"Nuclear Engineering and Radiological Sciences"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"60002"	01-JAN-01	"A"	"Nuclear Eng & Radiolog Sc"	"MAJ"	"Major"	"02040"	"14.2301"	"Nuclear Engineering"	"Nuclear Engineering"	"09.20"	"NUCLEAR ENGINEERING"	"NUCLEAR ENGINEERING"	"UND"	"6000"	"Nuc Eng RS"	"Nuclear Engineering and Radiological Sciences"	" "	"Nuclear Engineering and Radiological Sciences"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"6000BSE"	01-JAN-01	"A"	"Nuclear Eng & Radiolog Sc BSE"	"MAJ"	"Major"	" "	"14.2301"	"Nuclear Engineering"	"Nuclear Engineering"	"09.20"	"NUCLEAR ENGINEERING"	"NUCLEAR ENGINEERING"	"UENG"	"6000"	"Nuc Eng RS"	"Nuclear Engineering and Radiological Sciences"	"BSR"	"Nuclear Engineering and Radiological Sciences"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"6000BSE1"	01-JAN-01	"A"	"Nuclear Eng & Radiolog Sc BSE"	"MAJ"	"Major"	"02030"	"14.2301"	"Nuclear Engineering"	"Nuclear Engineering"	"09.20"	"NUCLEAR ENGINEERING"	"NUCLEAR ENGINEERING"	"UENG"	"6000"	"Nuc Eng RS"	"Nuclear Engineering and Radiological Sciences"	"BSR"	"Nuclear Engineering and Radiological Sciences"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"6000MS"	01-JAN-01	"A"	"Nuclear Eng & Radiolog Sc MS"	"MAJ"	"Major"	"01566"	"14.2301"	"Nuclear Engineering"	"Nuclear Engineering"	"09.20"	"NUCLEAR ENGINEERING"	"NUCLEAR ENGINEERING"	"GRAC"	"6000"	"Nuc Eng RS"	"Nuclear Engineering and Radiological Sciences"	"MS"	"Nuclear Engineering and Radiological Sciences"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"6000MSE"	01-JAN-01	"A"	"Nuclear Eng & Radiolog Sc MSE"	"MAJ"	"Major"	"01566"	"14.2301"	"Nuclear Engineering"	"Nuclear Engineering"	"09.20"	"NUCLEAR ENGINEERING"	"NUCLEAR ENGINEERING"	"GRAC"	"6000"	"Nuc Eng RS"	"Nuclear Engineering and Radiological Sciences"	"MSE"	"Nuclear Engineering and Radiological Sciences"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"6000MSE1"	01-JAN-01	"A"	"Nuclear Eng & Radiolog Sc MSE"	"MAJ"	"Major"	"01737"	"14.2301"	"Nuclear Engineering"	"Nuclear Engineering"	"09.20"	"NUCLEAR ENGINEERING"	"NUCLEAR ENGINEERING"	"GRAC"	"6000"	"Nuc Eng RS"	"Nuclear Engineering and Radiological Sciences"	"MSE"	"Nuclear Engineering and Radiological Sciences"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"6000PHD"	01-JAN-01	"A"	"Nuclear Eng & Radiolog Sc PhD"	"MAJ"	"Major"	"01565"	"14.2301"	"Nuclear Engineering"	"Nuclear Engineering"	"09.20"	"NUCLEAR ENGINEERING"	"NUCLEAR ENGINEERING"	"GRAC"	"6000"	"Nuc Eng RS"	"Nuclear Engineering and Radiological Sciences"	"PHD"	"Nuclear Engineering and Radiological Sciences"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"6100"	01-JAN-01	"A"	"Nuclear Science"	"MAJ"	"Major"	"01489"	"14.2301"	"Nuclear Engineering"	"Nuclear Engineering"	"09.20"	"NUCLEAR ENGINEERING"	"NUCLEAR ENGINEERING"	"GRAC"	"6100"	"Nuclear Sc"	"Nuclear Science"	" "	"Nuclear Science"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
"6100MS"	01-JAN-01	"A"	"Nuclear Science MS"	"MAJ"	"Major"	"00345"	"14.2301"	"Nuclear Engineering"	"Nuclear Engineering"	"09.20"	"NUCLEAR ENGINEERING"	"NUCLEAR ENGINEERING"	"GRAC"	"6100"	"Nuclear Sc"	"Nuclear Science"	"MS"	"Nuclear Science"	"2"	"Phys Sciences and Engineering"	"109"	"Engineering"	"Engineerin"	" "	" "
