"Acad Plan"	"Dept Descrshort"	"Dept Descrformal"	"Acad Plan Effdt"	"Acad Plan Percent Owned"	"Acad Plan Descr"
"GERSBMA"	"Germanic L"	"Germanic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -German Studies BMusA"
"GERSBMU"	"Germanic L"	"Germanic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -German Studies BMus"
"GERSBDA"	"Germanic L"	"Germanic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -German Studies BDA"
"GERSBFAM"	"Germanic L"	"Germanic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -German Studies BFA"
"GERSBTA"	"Germanic L"	"Germanic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -German Studies BTA"
"GERSBSMUS"	"Germanic L"	"Germanic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -German Studies BS"
"GLCHBMA"	"Environmen"	"Program in the Environment"	"1901/01/01 00:00:00"	"100"	"Minor -Global Change BMusA"
"GLCHBMU"	"Environmen"	"Program in the Environment"	"1901/01/01 00:00:00"	"100"	"Minor -Global Change BMus"
"GLCHBDA"	"Environmen"	"Program in the Environment"	"1901/01/01 00:00:00"	"100"	"Minor -Global Change BDA"
"GLCHBFAM"	"Environmen"	"Program in the Environment"	"1901/01/01 00:00:00"	"100"	"Minor -Global Change BFA"
"GLCHBTA"	"Environmen"	"Program in the Environment"	"1901/01/01 00:00:00"	"100"	"Minor -Global Change BTA"
"GLCHBSMUS"	"Environmen"	"Program in the Environment"	"1901/01/01 00:00:00"	"100"	"Minor -Global Change BS"
"GLMSBMA"	"ScArts&Cul"	"Screen Arts and Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Global Media St BMusA"
"GLMSBMU"	"ScArts&Cul"	"Screen Arts and Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Global Media St BMus"
"GLMSBDA"	"ScArts&Cul"	"Screen Arts and Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Global Media St BDA"
"GLMSBFAM"	"ScArts&Cul"	"Screen Arts and Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Global Media St BFA"
"GLMSBTA"	"ScArts&Cul"	"Screen Arts and Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Global Media St BTA"
"4740PHD1"	"Bioinforma"	"Bioinformatics"	"1901/01/01 00:00:00"	"100"	"Bioinformatics PhD"
"GLMSBSMUS"	"ScArts&Cul"	"Screen Arts and Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Global Media Studies BS"
"HARTBMA"	"History Of"	"History Of Art Department"	"1901/01/01 00:00:00"	"100"	"Minor -History of Art BMusA"
"HARTBMU"	"History Of"	"History Of Art Department"	"1901/01/01 00:00:00"	"100"	"Minor -History of Art BMus"
"HARTBDA"	"History Of"	"History Of Art Department"	"1901/01/01 00:00:00"	"100"	"Minor -History of Art BDA"
"HARTBFAM"	"History Of"	"History Of Art Department"	"1901/01/01 00:00:00"	"100"	"Minor -History of Art BFA"
"HARTBTA"	"History Of"	"History Of Art Department"	"1901/01/01 00:00:00"	"100"	"Minor -History of Art BTA"
"HARTBSMUS"	"History Of"	"History Of Art Department"	"1901/01/01 00:00:00"	"100"	"Minor -History of Art BS"
"HISTBMA"	"History De"	"History Department"	"1901/01/01 00:00:00"	"100"	"Minor -History BMusA"
"HISTBMU"	"History De"	"History Department"	"1901/01/01 00:00:00"	"100"	"Minor -History BMus"
"HISTBDA"	"History De"	"History Department"	"1901/01/01 00:00:00"	"100"	"Minor -History BDA"
"HISTBFAM"	"History De"	"History Department"	"1901/01/01 00:00:00"	"100"	"Minor -History BFA"
"HISTBTA"	"History De"	"History Department"	"1901/01/01 00:00:00"	"100"	"Minor -History BTA"
"HISTBSMUS"	"History De"	"History Department"	"1901/01/01 00:00:00"	"100"	"Minor -History BS"
"JUDSTBMA"	"Judaic Stu"	"Judaic Studies Program"	"1901/01/01 00:00:00"	"100"	"Minor -Judaic Studies BMusA"
"JUDSTBMU"	"Judaic Stu"	"Judaic Studies Program"	"1901/01/01 00:00:00"	"100"	"Minor -Judaic Studies BMus"
"JUDSTBDA"	"Judaic Stu"	"Judaic Studies Program"	"1901/01/01 00:00:00"	"100"	"Minor -Judaic Studies BDA"
"JUDSTBFAM"	"Judaic Stu"	"Judaic Studies Program"	"1901/01/01 00:00:00"	"100"	"Minor -Judaic Studies BFA"
"JUDSTBTA"	"Judaic Stu"	"Judaic Studies Program"	"1901/01/01 00:00:00"	"100"	"Minor -Judaic Studies BTA"
"JUDSTBSMUS"	"Judaic Stu"	"Judaic Studies Program"	"1901/01/01 00:00:00"	"100"	"Minor -Judaic Studies BS"
"LACSBMA"	"Latin Amer"	"Latin Amer & Carribean Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Lat Am & Carib St BMusA"
"LACSBMU"	"Latin Amer"	"Latin Amer & Carribean Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Lat Am & Carib St BMus"
"LACSBDA"	"Latin Amer"	"Latin Amer & Carribean Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Lat Am & Carib St BDA"
"LACSBFAM"	"Latin Amer"	"Latin Amer & Carribean Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Lat Am & Carib St BFA"
"LACSBTA"	"Latin Amer"	"Latin Amer & Carribean Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Lat Am & Carib St BTA"
"LACSBSMUS"	"Latin Amer"	"Latin Amer & Carribean Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Lat Am & Carib St BS"
"LINGBMA"	"Linguistic"	"Department of Linguistics"	"1901/01/01 00:00:00"	"100"	"Minor -Linguistics BMusA"
"LINGBMU"	"Linguistic"	"Department of Linguistics"	"1901/01/01 00:00:00"	"100"	"Minor -Linguistics BMus"
"LINGBDA"	"Linguistic"	"Department of Linguistics"	"1901/01/01 00:00:00"	"100"	"Minor -Linguistics BDA"
"LINGBFAM"	"Linguistic"	"Department of Linguistics"	"1901/01/01 00:00:00"	"100"	"Minor -Linguistics BFA"
"LINGBTA"	"Linguistic"	"Department of Linguistics"	"1901/01/01 00:00:00"	"100"	"Minor -Linguistics BTA"
"LINGBSMUS"	"Linguistic"	"Department of Linguistics"	"1901/01/01 00:00:00"	"100"	"Minor -Linguistics BS"
"LLCAGBMA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Clt AGreecBMusA"
"LLCAGBMU"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Clt AGreec BMus"
"LLCAGBDA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Clt A Greec BDA"
"LLCAGBFAM"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Clt A Greec BFA"
"LLCAGBTA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Clt A Greec BTA"
"LLCAGBSMUS"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Clt A Greec BS"
"LLCARBMA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Cul AnRomeBMusA"
"LLCARBMU"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Cul AnRome BMus"
"LLCARBDA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Cul An Rome BDA"
"LLCARBFAM"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Cult AnRome BFA"
"LLCARBTA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Cult AnRome BTA"
"LLCARBSMUS"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Cult An Rome BS"
"MATHBMA"	"Mathematic"	"Mathematics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Mathematics BMusA"
"MATHBMU"	"Mathematic"	"Mathematics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Mathematics BMus"
"MATHBDA"	"Mathematic"	"Mathematics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Mathematics BDA"
"MATHBFAM"	"Mathematic"	"Mathematics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Mathematics BFA"
"MATHBTA"	"Mathematic"	"Mathematics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Mathematics BTA"
"MATHBSMUS"	"Mathematic"	"Mathematics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Mathematics BS"
"MGSBMA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Modern Greek Std BMusA"
"MGSBMU"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Modern Greek Std BMus"
"MGSBDA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Modern Greek Std BDA"
"MGSBFAM"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Modern Greek Std BFA"
"MGSBTA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Modern Greek Std BTA"
"MGSBSMUS"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Modern Greek Std BS"
"NASABLSA"	"American C"	"American Culture Program"	"1901/01/01 00:00:00"	"100"	"Minor -Native American Std BA"
"NASBSLSA"	"American C"	"American Culture Program"	"1901/01/01 00:00:00"	"100"	"Minor -Native American Std BS"
"NASABRC"	"American C"	"American Culture Program"	"2001/06/27 00:00:00"	"100"	"Minor -Native American Std BA"
"NASBSRC"	"American C"	"American Culture Program"	"2001/06/27 00:00:00"	"100"	"Minor -Native American Std BS"
"NASBFA"	"American C"	"American Culture Program"	"1901/01/01 00:00:00"	"100"	"Minor -Native American Std BFA"
"NASBSAUP"	"American C"	"American Culture Program"	"1901/01/01 00:00:00"	"100"	"Minor -Native American Std BS"
"NASBSDH"	"American C"	"American Culture Program"	"1901/01/01 00:00:00"	"100"	"Minor -Native American Std BS"
"NASBDA"	"American C"	"American Culture Program"	"1901/01/01 00:00:00"	"100"	"Minor -Native American Std BDA"
"NASBFAM"	"American C"	"American Culture Program"	"1901/01/01 00:00:00"	"100"	"Minor -Native American Std BFA"
"NASBMA"	"American C"	"American Culture Program"	"1901/01/01 00:00:00"	"100"	"Minor -Native Amer Std BMusA"
"NASBMU"	"American C"	"American Culture Program"	"1901/01/01 00:00:00"	"100"	"Minor -Native Amer Std BMus"
"NASBSMUS"	"American C"	"American Culture Program"	"1901/01/01 00:00:00"	"100"	"Minor -Native American Std BS"
"NASBTA"	"American C"	"American Culture Program"	"1901/01/01 00:00:00"	"100"	"Minor -Native American Std BTA"
"NASBNU"	"American C"	"American Culture Program"	"1901/01/01 00:00:00"	"100"	"Minor -Native American Std BS"
"ASSTABLSA"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Studies BA"
"ASSTBSLSA"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Studies BS"
"ASSTBSRC"	"Asian Lang"	"Asian Languages And Cultures"	"2001/06/27 00:00:00"	"100"	"Minor -Asian Studies BS"
"ASSTABRC"	"Asian Lang"	"Asian Languages And Cultures"	"2001/06/27 00:00:00"	"100"	"Minor -Asian Studies BA"
"AAASABFA"	"AfroAm&Af"	"Department of Afro-American and African Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Afro Am & Africa St BFA"
"AATDABFA"	"Theatre An"	"Theatre And Drama"	"1901/01/01 00:00:00"	"100"	"Minor -Af Am Theat & Drama BFA"
"ANTHRBFA"	"Anthropolo"	"Anthropology Department"	"1901/01/01 00:00:00"	"100"	"Minor -Anthropology BFA"
"APPSTABFA"	"Statistics"	"Statistics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Applied Statistics BFA"
"BIOANBFA"	"Anthropolo"	"Anthropology Department"	"1901/01/01 00:00:00"	"100"	"Minor -Biolog Anthropology BFA"
"BIOLBFA"	"Biology De"	"Biology Department"	"1901/01/01 00:00:00"	"100"	"Minor -Biology BFA"
"CLARCBFA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Class Archaeology BFA"
"CLLCBFA"	"Slavic Lan"	"Slavic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -Czech Lan,Lit & Cul BFA"
"CRJUBFA"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Crime & Justice BFA"
"ECONBFA"	"Economics"	"Economics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Economics BFA"
"EESBFA"	"CREEES"	"Center for Russian, E. European & Eurasian Studies"	"1901/01/01 00:00:00"	"100"	"Minor -East European St BFA"
"ENVGBFA"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Environment Geology BFA"
"ENVSBFA"	"RESCO"	"College of L S & A Residential College"	"2002/04/02 00:00:00"	"100"	"Minor -Environment Studies BFA"
"ESGBFA"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Earth Sciences Gen BFA"
"FFSBFA"	"Romance La"	"Romance Languages Department"	"1901/01/01 00:00:00"	"100"	"Minor -French & Franc St BFA"
"GCHEMBFA"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Geochemistry BFA"
"GERSBFA"	"Germanic L"	"Germanic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -German Studies BFA"
"GLMSBFA"	"ScArts&Cul"	"Screen Arts and Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Global Media Std BFA"
"HARTBFA"	"History Of"	"History Of Art Department"	"1901/01/01 00:00:00"	"100"	"Minor -History of Art BFA"
"HISTBFA"	"History De"	"History Department"	"1901/01/01 00:00:00"	"100"	"Minor -History BFA"
"JUDSTBFA"	"Judaic Stu"	"Judaic Studies Program"	"1901/01/01 00:00:00"	"100"	"Minor -Judaic Studies BFA"
"LACSBFA"	"Latin Amer"	"Latin Amer & Carribean Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Lat Am & Carib St BFA"
"LINGBFA"	"Linguistic"	"Department of Linguistics"	"1901/01/01 00:00:00"	"100"	"Minor -Linguistics BFA"
"LLCAGBFA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Clt A Greec BFA"
"LLCARBFA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Cult A Rome BFA"
"MATHBFA"	"Mathematic"	"Mathematics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Mathematics BFA"
"MGSBFA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Modern Greek Std BFA"
"OCEANBFA"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Oceanography BFA"
"PALEOBFA"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Paleontology BFA"
"PHYBFA"	"Physics De"	"Physics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Physics BFA"
"ASSTBFA"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Studies BFA"
"ASSTAUP"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Studies BS"
"ASSTBSDH"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Studies BS"
"ASSTBDA"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Studies BDA"
"ASSTBFAM"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Studies BFA"
"ASSTBMA"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Studies BMusA"
"ASSTBMU"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Studies BMus"
"ASSTBSMUS"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Studies BS"
"ASSTBTA"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Studies BTA"
"ASSTBNU"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Studies BS"
"ALCABLSA"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Lang & Cult BA"
"ALCBSLSA"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Lang & Cult BS"
"ALCABRC"	"Asian Lang"	"Asian Languages And Cultures"	"2001/06/27 00:00:00"	"100"	"Minor -Asian Lang & Cult BA"
"ALCBSRC"	"Asian Lang"	"Asian Languages And Cultures"	"2001/06/27 00:00:00"	"100"	"Minor -Asian Lang & Cult BS"
"ALCBFA"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Lang & Cult BFA"
"ALCAUP"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Lang & Cult BS"
"ALCBSDH"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Lang & Cult BS"
"ALCBDA"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Lang & Cult BDA"
"ALCBFAM"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Lang & Cult BFA"
"ALCBMA"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Lang & Cult BMusA"
"ALCBMU"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Lang & Cult BMus"
"ALCBSMUS"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Lang & Cult BS"
"ALCBTA"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Lang & Cult BTA"
"ALCBNU"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Lang & Cult BS"
"AAASBBA"	"AfroAm&Af"	"Department of Afro-American and African Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Afro Am & Africa St BBA"
"AATDBBA"	"Theatre An"	"Theatre And Drama"	"1901/01/01 00:00:00"	"100"	"Minor -Af Am Theat & Drama BBA"
"ALCABBA"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Lang & Cult BBA"
"ANTHRBBA"	"Anthropolo"	"Anthropology Department"	"1901/01/01 00:00:00"	"100"	"Minor -Anthropology BBA"
"APIASBBA"	"American C"	"American Culture Program"	"1901/01/01 00:00:00"	"100"	"Minor -AsianPacific Island BBA"
"APPSTBBA"	"Statistics"	"Statistics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Applied Statistics BBA"
"ASSTBBA"	"Asian Lang"	"Asian Languages And Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Asian Studies BBA"
"ASTBBA"	"Astronomy"	"Astronomy Department"	"1901/01/01 00:00:00"	"100"	"Minor -Astron & Astrophy BBA"
"BIOANBBA"	"Anthropolo"	"Anthropology Department"	"1901/01/01 00:00:00"	"100"	"Minor -Biolog Anthropology BBA"
"BIOLBBA"	"Biology De"	"Biology Department"	"1901/01/01 00:00:00"	"100"	"Minor -Biology BBA"
"CLARCBBA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Class Archaeology BBA"
"CLLCBBA"	"Slavic Lan"	"Slavic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -Czech Lan,Lit & Cul BBA"
"CRJUBBA"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Crime & Justice BBA"
"ECONBBA"	"Economics"	"Economics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Economics BBA"
"EESBBA"	"CREEES"	"Center for Russian, E. European & Eurasian Studies"	"1901/01/01 00:00:00"	"100"	"Minor -East European St BBA"
"ENVBBA"	"L S & A"	"College of Literature, Science, and the Arts"	"1901/01/01 00:00:00"	"100"	"Minor -Environment BBA"
"ENVGBBA"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Environment Geology BBA"
"ESGBBA"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Earth Sci General BBA"
"FFSBBA"	"Romance La"	"Romance Languages Department"	"1901/01/01 00:00:00"	"100"	"Minor -French & Francop St BBA"
"GCHEMBBA"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Geochemistry BBA"
"GERSBBA"	"Germanic L"	"Germanic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -German Studies BBA"
"GLCHBBA"	"Environmen"	"Program in the Environment"	"1901/01/01 00:00:00"	"100"	"Minor -Global Change BBA"
"GLMSBBA"	"ScArts&Cul"	"Screen Arts and Cultures"	"1901/01/01 00:00:00"	"100"	"Minor -Global Media Stud BBA"
"HARTBBA"	"History Of"	"History Of Art Department"	"1901/01/01 00:00:00"	"100"	"Minor -History of Art BBA"
"HISTBBA"	"History De"	"History Department"	"1901/01/01 00:00:00"	"100"	"Minor -History BBA"
"JUDSTBBA"	"Judaic Stu"	"Judaic Studies Program"	"1901/01/01 00:00:00"	"100"	"Minor -Judaic Studies BBA"
"LACSBBA"	"Latin Amer"	"Latin Amer & Carribean Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Lat Am & Carib St BBA"
"LINGBBA"	"Linguistic"	"Department of Linguistics"	"1901/01/01 00:00:00"	"100"	"Minor -Linguistics BBA"
"LLCAGBBA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Clt A Greec BBA"
"LLCARBBA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Lan,Lit,Cult An RomeBBA"
"MATHBBA"	"Mathematic"	"Mathematics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Mathematics BBA"
"MGSBBA"	"Classical"	"Classical Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Mod Greek Studies BBA"
"NASBBA"	"American C"	"American Culture Program"	"1901/01/01 00:00:00"	"100"	"Minor -Native American Std BBA"
"NELLBBA"	"N East Std"	"Near Eastern Studies Department"	"1901/01/01 00:00:00"	"100"	"Minor -Nr East Lang & Cul BBA"
"OCEANBBA"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Oceanography BBA"
"PALEOBBA"	"Earth & En"	"Earth and Environmental Sciences"	"1901/01/01 00:00:00"	"100"	"Minor -Paleontology BBA"
"PHYBBA"	"Physics De"	"Physics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Physics BBA"
"PLLCBBA"	"Slavic Lan"	"Slavic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -Polish Lang,Lit,Cul BBA"
"POLSCBBA"	"Political"	"Political Science Department"	"1901/01/01 00:00:00"	"100"	"Minor -Political Science BBA"
"RLLCBBA"	"Slavic Lan"	"Slavic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -Russ Lang,Lit,Cul BBA"
"RUSSTBBA"	"CREEES"	"Center for Russian, E. European & Eurasian Studies"	"1901/01/01 00:00:00"	"100"	"Minor -Russian Studies BBA"
"SCANSBBA"	"Germanic L"	"Germanic Languages & Lit Dept"	"1901/01/01 00:00:00"	"100"	"Minor -Scandinavian Stud BBA"
"SPLLCBBA"	"Romance La"	"Romance Languages Department"	"1901/01/01 00:00:00"	"100"	"Minor -Span Lang,Lit,Cul BBA"
"STATBBA"	"Statistics"	"Statistics Department"	"1901/01/01 00:00:00"	"100"	"Minor -Statistics BBA"
"STSBBA"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Science Tech & Soc BBA"
"TTPBBA"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Drama: Text to Perf BBA"
"1920AMU"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Conducting Band AMusD"
"1940AMU"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Conducting Choral AMusD"
"1950AMU"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Conducting Orchestral AMusD"
"5470AMU"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Music Composition AMusD"
"5640AMU1"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Music Performance AMusD"
"5640AMU10"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Music Performance AMusD"
"5640AMU11"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Music Performance AMusD"
"5640AMU12"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Music Performance AMusD"
"5640AMU13"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Music Performance AMusD"
"5640AMU14"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Music Performance AMusD"
"5640AMU15"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Music Performance AMusD"
"5640AMU16"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Music Performance AMusD"
"5640AMU17"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Music Performance AMusD"
"5640AMU18"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Music Performance AMusD"
"5640AMU19"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Music Performance AMusD"
"5640AMU2"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Music Performance AMusD"
"5640AMU20"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Music Performance AMusD"
"5640AMU21"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Music Performance AMusD"
"5640AMU23"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Music Performance AMusD"
"5640AMU24"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Music Performance AMusD"
"5640AMU3"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Music Performance AMusD"
"5640AMU4"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Music Performance AMusD"
"5640AMU5"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"100"	"Music Performance AMusD"
