"Acad Plan"	"Dept Descrshort"	"Dept Descrformal"	"Acad Plan Effdt"	"Acad Plan Percent Owned"	"Acad Plan Descr"
"999000PHD"	"A & UP"	"College of Architecture & Urban Planning"	"1901/01/01 00:00:00"	"50"	"Arch&Nat ResEnv PhD"
"999000PHD"	"NR & E"	"Sch Of Nat Resources & Environ"	"1901/01/01 00:00:00"	"50"	"Arch&Nat ResEnv PhD"
"999003PHD"	"Astronomy"	"Astronomy Department"	"1901/01/01 00:00:00"	"50"	"AstAstrophys&Ed PhD"
"999003PHD"	"EDUC"	"School Of Education"	"1901/01/01 00:00:00"	"50"	"AstAstrophys&Ed PhD"
"999004PHD"	"BUS AD"	"School of Business Administration"	"1901/01/01 00:00:00"	"50"	"BusAd&Soc PhD"
"999004PHD"	"Sociology"	"Sociology Department"	"1901/01/01 00:00:00"	"50"	"BusAd&Soc PhD"
"999005PHD"	"Classical"	"Classical Art&Archaeology Prgm"	"1901/01/01 00:00:00"	"50"	"ClsArtArc&Anthr PhD"
"999005PHD"	"Anthropolo"	"Anthropology Department"	"1901/01/01 00:00:00"	"50"	"ClsArtArc&Anthr PhD"
"999006PHD"	"Economics"	"Economics Department"	"1901/01/01 00:00:00"	"50"	"Econ&HlthSvcsOrgPlcy PhD"
"999006PHD"	"PUB HL"	"School Of Public Health"	"1901/01/01 00:00:00"	"50"	"Econ&HlthSvcsOrgPlcy PhD"
"999007PHD"	"History De"	"History Department"	"1901/01/01 00:00:00"	"50"	"Hist&Soc PhD"
"999007PHD"	"Sociology"	"Sociology Department"	"1901/01/01 00:00:00"	"50"	"Hist&Soc PhD"
"999008PHD"	"PUB HL"	"School Of Public Health"	"1901/01/01 00:00:00"	"50"	"HlthSvcsOrgPlcy&PoliSci PhD"
"999008PHD"	"Political"	"Political Science Department"	"1901/01/01 00:00:00"	"50"	"HlthSvcsOrgPlcy&PoliSci PhD"
"999009PHD"	"PUB HL"	"School Of Public Health"	"1901/01/01 00:00:00"	"50"	"HlthSvcsOrgPlcy&SocAdmScis PhD"
"999009PHD"	"LS&A Socia"	"LS&A Social Science Department"	"1901/01/01 00:00:00"	"50"	"HlthSvcsOrgPlcy&SocAdmScis PhD"
"999010PHD"	"Industrial"	"Industrial-Operations Engr Dep"	"1901/01/01 00:00:00"	"50"	"IndusOpEng&Bioinfo PhD"
"999010PHD"	"Bioinforma"	"Bioinformatics"	"1901/01/01 00:00:00"	"50"	"IndusOpEng&Bioinfo PhD"
"999011PHD"	"Industrial"	"Industrial-Operations Engr Dep"	"1901/01/01 00:00:00"	"50"	"IndusOpEng&BusAd PhD"
"999011PHD"	"BUS AD"	"School of Business Administration"	"1901/01/01 00:00:00"	"50"	"IndusOpEng&BusAd PhD"
"999012PHD"	"Industrial"	"Industrial-Operations Engr Dep"	"1901/01/01 00:00:00"	"50"	"IndusOpEng&Psych PhD"
"999012PHD"	"Psychology"	"Psychology Department"	"1901/01/01 00:00:00"	"50"	"IndusOpEng&Psych PhD"
"999013PHD"	"KINES"	"School Of Kinesiology"	"1901/01/01 00:00:00"	"50"	"Kines&MechEng PhD"
"999013PHD"	"Mech Eng &"	"Mech Eng & Applied Mech Dept"	"1901/01/01 00:00:00"	"50"	"Kines&MechEng PhD"
"999014PHD"	"Linguistic"	"Department of Linguistics"	"1901/01/01 00:00:00"	"50"	"Ling&Anthr PhD"
"999014PHD"	"Anthropolo"	"Anthropology Department"	"1901/01/01 00:00:00"	"50"	"Ling&Anthr PhD"
"999015PHD"	"Mech Eng &"	"Mech Eng & Applied Mech Dept"	"1901/01/01 00:00:00"	"50"	"MechEng&IndusOpEng PhD"
"999015PHD"	"Industrial"	"Industrial-Operations Engr Dep"	"1901/01/01 00:00:00"	"50"	"MechEng&IndusOpEng PhD"
"999016PHD"	"Music"	"School of Music, Theatre and Dance"	"1901/01/01 00:00:00"	"50"	"MusTheo&Phil PhD"
"999016PHD"	"Philosophy"	"Philosophy Department"	"1901/01/01 00:00:00"	"50"	"MusTheo&Phil PhD"
"999017PHD"	"NR & E"	"Sch Of Nat Resources & Environ"	"1901/01/01 00:00:00"	"50"	"NatResEnv&CivEnvlEng PhD"
"999017PHD"	"Civil & En"	"Civil & Environmental Engr"	"1901/01/01 00:00:00"	"50"	"NatResEnv&CivEnvlEng PhD"
"999018PHD"	"Political"	"Political Science Department"	"1901/01/01 00:00:00"	"50"	"PoliSci&HlthSvcsOrgPlcy PhD"
"999018PHD"	"PUB HL"	"School Of Public Health"	"1901/01/01 00:00:00"	"50"	"PoliSci&HlthSvcsOrgPlcy PhD"
"999019PHD"	"Political"	"Political Science Department"	"1901/01/01 00:00:00"	"50"	"PoliSci&Phil PhD"
"999019PHD"	"Philosophy"	"Philosophy Department"	"1901/01/01 00:00:00"	"50"	"PoliSci&Phil PhD"
"999020PHD"	"Psychology"	"Psychology Department"	"1901/01/01 00:00:00"	"50"	"Psych&BusAd PhD"
"999020PHD"	"BUS AD"	"School of Business Administration"	"1901/01/01 00:00:00"	"50"	"Psych&BusAd PhD"
"999021PHD"	"ScArts&Cul"	"Screen Arts and Cultures"	"1901/01/01 00:00:00"	"50"	"ScrArtsCult&AsLangCults PhD"
